,Action,Abstraction,Animacy,Spiritualism,Food,Creation,Tradition
0,gardening,11.94117647,83.76,31.47826087,47.76190476,80.71428571,80.91304348
1,repenting,66.23809524,77.66666667,86.10526316,9.538461538,37.3125,75.11764706
2,monitoring,50.28301887,28.80357143,26.50943396,37.26530612,40.28070175,38.28070175
3,eating,10.10416667,87.24528302,35.35087719,89.34782609,70.72222222,78.2195122
4,fighting,31.54545455,85.38095238,39.87878788,11.23809524,13.32,84.56666667
5,socializing,77.61111111,91.35483871,56.16129032,38.0,73.57894737,69.08333333
6,grilling,18.56,73.4,36.86956522,85.55,56.33333333,57.88461538
7,dancing,31.63636364,93.36842105,62.33333333,15.08695652,82.0,81.22727273
8,hammering,12.34782609,55.625,21.48,22.26923077,60.24,66.42857143
9,wailing,36.19047619,79.6,70.0,12.61538462,26.0,76.41176471
10,barbecuing,32.2173913,80.13043478,43.5,87.76923077,78.18181818,42.91666667
11,boiling,17.28571429,45.57142857,40.05555556,88.46428571,61.25,74.39285714
12,speculating,73.09433962,76.46428571,51.18867925,22.7755102,48.50877193,52.57894737
13,shoveling,15.75,68.9047619,16.33333333,17.68181818,53.57894737,79.88571429
14,drinking,29.09090909,90.68,43.04166667,81.62962963,47.62068966,86.06451613
15,kneeling,37.26086957,85.37931034,79.3,13.08695652,61.3,79.74193548
16,bicycling,12.11111111,77.11538462,43.79166667,6.4,79.53333333,54.0
17,burning,16.45833333,57.92307692,41.91304348,67.625,30.55555556,80.17241379
18,remembering,70.5625,69.96226415,48.49122807,34.08695652,72.40740741,70.36585366
19,feeding,30.5,79.05263158,51.38888889,83.40740741,56.43478261,84.5625
20,performing,48.19047619,82.82608696,44.18518519,16.65517241,86.10714286,68.62068966
21,biting,15.73684211,89.2,35.08,58.85185185,26.7826087,75.29166667
22,hitchhiking,33.83333333,93.125,38.23529412,9.5,41.61538462,58.0
23,complaining,55.57142857,79.46666667,30.84210526,14.69230769,37.25,77.88235294
