participant,stim1,stim2,rating,rt
1,sadness,remembering,70,14109
1,fatigue,hammering,5,9738
1,dominance,hammering,60,14980
1,rage,grilling,50,6483
1,serenity,grilling,30,7239
1,rage,performing,56,7413
1,regret,performing,20,7655
1,contemplation,hitchhiking,3,8802
1,interest,drinking,33,7646
1,mortification,gardening,59,4316
1,sleepiness,burning,0,6381
1,sleepiness,gardening,0,3296
1,dominance,barbecuing,6,4044
1,excitement,dancing,97,6499
1,rage,fighting,93,3557
1,regret,drinking,80,3601
1,rage,shoveling,42,5023
1,contemplation,wailing,23,3466
1,mortification,complaining,59,3274
1,tiredness,feeding,3,3137
1,relaxation,drinking,62,4830
1,fatigue,boiling,1,3201
1,affection,hitchhiking,0,3450
1,dominance,boiling,0,2833
1,relief,wailing,27,6556
1,serenity,remembering,59,3942
1,dominance,feeding,0,4241
1,excitement,biting,0,3279
1,fatigue,biting,0,3296
1,excitement,performing,60,3656
1,regret,dancing,0,2930
1,contemplation,bicycling,6,3675
1,sadness,drinking,75,5031
1,fatigue,barbecuing,0,3179
1,panic,wailing,75,2752
1,relief,burning,0,2607
1,panic,barbecuing,0,2477
1,melancholy,biting,15,4886
1,self-consciousness,feeding,3,3564
1,rage,wailing,90,4726
1,jealousy,eating,8,3185
1,enjoyment,shoveling,28,6003
1,fatigue,socializing,3,4027
1,interest,boiling,6,3169
1,enjoyment,remembering,73,3731
1,sadness,eating,59,3130
1,fury,eating,62,3803
1,rage,remembering,55,3202
1,relief,kneeling,44,8480
1,fury,hitchhiking,0,3241
1,contemplation,complaining,65,4303
1,fury,fighting,88,3362
1,relief,speculating,27,3571
1,tiredness,hitchhiking,0,2985
1,fury,kneeling,0,5631
1,decision,grilling,1,4122
1,self-consciousness,eating,1,3754
1,rage,gardening,2,3266
1,dominance,socializing,53,8218
1,sleepiness,bicycling,0,2639
1,melancholy,hitchhiking,0,3843
1,mortification,remembering,56,2706
1,warmth,complaining,1,5327
1,contemplation,socializing,19,4591
1,jealousy,monitoring,91,4189
1,interest,complaining,30,3628
1,fury,wailing,77,3121
1,interest,biting,1,4639
1,playfulness,complaining,2,6756
1,mortification,fighting,33,3803
1,self-consciousness,monitoring,76,7380
1,affection,gardening,3,2801
1,self-consciousness,wailing,40,7071
1,relaxation,performing,1,3964
1,regret,burning,26,5722
1,relaxation,repenting,13,5064
1,relaxation,shoveling,0,2665
1,dominance,gardening,0,2712
1,decision,shoveling,24,4005
1,enjoyment,repenting,5,3310
2,excitement,burning,15,9299
2,fatigue,hammering,6,6492
2,tiredness,gardening,35,5468
2,serenity,grilling,46,7961
2,regret,wailing,80,4416
2,fury,monitoring,51,3616
2,fury,barbecuing,6,5639
2,relaxation,feeding,66,4840
2,fury,dancing,16,5876
2,relaxation,speculating,48,5895
2,excitement,boiling,12,6607
2,regret,socializing,44,4416
2,excitement,fighting,40,3083
2,excitement,repenting,23,3873
2,rage,socializing,32,2999
2,mortification,dancing,5,3295
2,decision,boiling,35,3974
2,mortification,fighting,56,4030
2,self-consciousness,feeding,61,3443
2,tiredness,hitchhiking,36,7369
2,tiredness,wailing,55,5286
2,tiredness,feeding,38,4346
2,mortification,repenting,93,5554
2,sleepiness,eating,72,3860
2,serenity,dancing,71,3015
2,sadness,feeding,59,2436
2,rage,boiling,4,2705
2,interest,boiling,9,4541
2,serenity,bicycling,32,3741
2,fatigue,socializing,16,2473
2,serenity,performing,45,3001
2,enjoyment,complaining,38,2861
2,dominance,monitoring,61,3794
2,enjoyment,eating,94,4597
2,sleepiness,repenting,40,3788
2,serenity,wailing,8,10660
2,decision,kneeling,27,5714
2,dominance,fighting,82,5060
2,jealousy,performing,14,2649
2,interest,kneeling,22,2696
2,mortification,hitchhiking,3,2887
2,mortification,kneeling,23,3803
2,excitement,hammering,17,2476
2,regret,hammering,7,3345
2,excitement,speculating,34,2798
2,sadness,boiling,16,2381
2,affection,speculating,32,3676
2,sadness,wailing,79,3276
2,playfulness,socializing,90,3120
2,rage,grilling,5,3292
2,rage,burning,12,4275
2,rage,hammering,12,2137
2,interest,wailing,9,2491
2,jealousy,speculating,27,2530
2,tiredness,dancing,15,2599
2,mortification,drinking,60,2931
2,contemplation,eating,72,2317
2,warmth,remembering,82,4220
2,interest,feeding,56,2574
2,jealousy,boiling,9,2137
2,excitement,eating,90,3222
2,interest,biting,14,4574
2,relaxation,performing,47,3134
2,dominance,gardening,17,3820
2,rage,speculating,59,2962
2,interest,socializing,90,12964
2,dominance,biting,53,6219
2,relaxation,grilling,35,9301
2,jealousy,fighting,92,3017
2,dominance,performing,14,2677
2,fury,grilling,12,4511
2,mortification,complaining,88,2498
2,enjoyment,kneeling,23,3025
2,melancholy,boiling,9,2662
2,mortification,burning,34,6129
2,affection,hammering,10,2145
2,affection,grilling,41,3841
2,enjoyment,drinking,86,2354
2,dominance,boiling,10,2035
2,sleepiness,burning,21,2775
3,relaxation,bicycling,35,13772
3,mortification,boiling,5,7921
3,decision,dancing,35,9402
3,panic,shoveling,5,5845
3,regret,speculating,85,4100
3,warmth,repenting,5,8270
3,tiredness,feeding,80,11017
3,mortification,hammering,0,2695
3,regret,barbecuing,20,6894
3,playfulness,barbecuing,50,8408
3,sadness,dancing,75,4919
3,self-consciousness,speculating,90,5110
3,tiredness,bicycling,30,5954
3,excitement,dancing,95,5104
3,interest,repenting,9,4702
3,melancholy,feeding,65,5110
3,sadness,gardening,70,7675
3,warmth,fighting,15,11789
3,fatigue,repenting,55,5930
3,sleepiness,shoveling,0,3151
3,fatigue,dancing,15,7882
3,relaxation,complaining,60,7550
3,self-consciousness,hitchhiking,10,5032
3,decision,performing,10,8562
3,enjoyment,repenting,6,5991
3,interest,shoveling,11,7904
3,interest,boiling,11,4462
3,tiredness,monitoring,24,5335
3,relief,performing,65,4444
3,playfulness,wailing,50,6368
3,jealousy,kneeling,25,9670
3,sadness,hitchhiking,50,5296
3,contemplation,eating,77,3564
3,fury,grilling,49,6791
3,melancholy,fighting,80,6243
3,decision,biting,50,5501
3,tiredness,repenting,50,4236
3,regret,hammering,11,6103
3,tiredness,gardening,20,4628
3,relaxation,feeding,75,3455
3,mortification,kneeling,80,9636
3,enjoyment,gardening,90,5160
3,enjoyment,bicycling,90,4798
3,contemplation,barbecuing,20,5487
3,relaxation,monitoring,60,8986
3,warmth,bicycling,60,5840
3,excitement,repenting,9,4627
3,dominance,hitchhiking,11,3155
3,fury,biting,70,5445
3,regret,boiling,8,3855
3,interest,eating,85,4182
3,fury,feeding,15,5359
3,interest,kneeling,14,4504
3,regret,monitoring,70,4782
3,interest,complaining,40,3988
3,decision,speculating,90,7359
3,fatigue,boiling,5,5012
3,rage,socializing,10,3840
3,playfulness,monitoring,46,8271
3,contemplation,burning,56,5151
3,fury,burning,66,2853
3,mortification,barbecuing,4,5994
3,sleepiness,monitoring,36,4380
3,serenity,bicycling,80,6958
3,mortification,fighting,59,4071
3,mortification,grilling,4,5515
3,fatigue,hitchhiking,78,6110
3,warmth,boiling,4,5366
3,affection,fighting,50,7236
3,mortification,remembering,70,4119
3,serenity,feeding,59,4342
3,enjoyment,burning,23,5515
3,jealousy,performing,58,3231
3,warmth,shoveling,6,5221
3,relief,hammering,4,3540
3,playfulness,speculating,26,3494
3,self-consciousness,burning,68,3748
3,sleepiness,biting,12,5608
3,self-consciousness,fighting,70,3649
3,contemplation,speculating,91,4627
4,fatigue,hitchhiking,70,7048
4,self-consciousness,fighting,68,2257
4,fatigue,monitoring,72,1706
4,melancholy,gardening,75,1702
4,jealousy,boiling,73,2132
4,mortification,socializing,65,1874
4,panic,boiling,62,1607
4,relief,burning,58,2149
4,fury,kneeling,54,1803
4,dominance,grilling,53,1823
4,decision,boiling,52,1505
4,jealousy,grilling,54,1450
4,dominance,monitoring,55,1543
4,melancholy,wailing,56,1726
4,melancholy,eating,57,1386
4,interest,remembering,56,1437
4,sadness,remembering,56,2011
4,excitement,hitchhiking,55,3933
4,self-consciousness,repenting,58,1682
4,rage,eating,57,1903
4,relaxation,dancing,57,1467
4,warmth,biting,55,1238
4,rage,complaining,57,1402
4,regret,wailing,57,1566
4,contemplation,eating,56,1465
4,self-consciousness,burning,59,1266
4,jealousy,dancing,59,1638
4,excitement,kneeling,56,1522
4,regret,eating,57,1241
4,regret,socializing,56,1269
4,enjoyment,grilling,56,1587
4,panic,remembering,57,1761
