participant,stim1,stim2,rating,rt
1,feeding,relaxation,38,22617
1,speculating,excitement,79,5006
1,burning,excitement,18,4026
1,kneeling,serenity,28,3550
1,wailing,decision,73,5725
1,remembering,regret,80,4365
1,gardening,mortification,42,2616
1,kneeling,jealousy,33,2506
1,drinking,affection,9,3884
1,shoveling,playfulness,40,3105
1,remembering,relief,63,6271
1,burning,mortification,49,3131
1,complaining,enjoyment,0,3942
1,bicycling,dominance,48,5151
1,monitoring,contemplation,61,3194
1,eating,playfulness,69,2134
1,feeding,excitement,60,2906
1,barbecuing,affection,7,3581
1,kneeling,fury,33,3452
1,speculating,contemplation,53,2842
1,bicycling,rage,16,2891
1,shoveling,relaxation,6,3953
1,performing,serenity,53,2541
1,drinking,fatigue,87,6211
1,socializing,panic,8,2693
1,performing,relief,46,2466
1,shoveling,decision,15,2860
1,boiling,interest,24,2326
1,gardening,relaxation,97,2529
1,remembering,dominance,40,4377
1,repenting,self-consciousness,62,11647
1,hammering,interest,20,5904
1,kneeling,excitement,20,2186
1,speculating,serenity,30,2822
1,repenting,jealousy,10,9028
1,boiling,serenity,28,2059
1,socializing,contemplation,58,3754
1,grilling,relief,52,3669
1,dancing,panic,4,2888
1,drinking,jealousy,89,3259
1,hitchhiking,panic,86,3153
1,bicycling,panic,23,2124
1,hammering,dominance,14,2379
1,feeding,panic,14,2688
1,drinking,tiredness,91,2775
1,burning,decision,8,2707
1,socializing,fatigue,27,2225
1,burning,enjoyment,14,2464
1,drinking,relaxation,85,3241
1,socializing,enjoyment,95,3335
1,biting,mortification,63,17597
1,boiling,affection,14,2618
1,bicycling,sadness,13,2188
1,boiling,decision,43,2551
1,boiling,fatigue,59,5425
1,wailing,dominance,19,2830
1,hitchhiking,mortification,6,3172
1,performing,fury,45,3445
1,remembering,warmth,81,2356
1,grilling,sadness,17,2554
1,complaining,sadness,99,2213
1,performing,rage,19,2857
1,hammering,contemplation,5,2927
1,speculating,relief,26,2771
1,wailing,rage,81,2436
1,fighting,excitement,25,2152
1,bicycling,melancholy,58,2896
1,hitchhiking,interest,16,3233
1,remembering,tiredness,17,2594
1,speculating,warmth,6,2846
1,repenting,fury,29,3837
1,dancing,sleepiness,8,3031
1,eating,tiredness,99,2518
1,boiling,relaxation,14,2035
1,fighting,affection,23,3015
1,bicycling,serenity,54,3074
1,dancing,self-consciousness,14,2866
1,socializing,relief,62,3881
1,wailing,sadness,100,2572
1,bicycling,decision,22,2305
2,feeding,fury,1,14343
2,gardening,melancholy,15,10910
2,socializing,panic,5,7248
2,hammering,self-consciousness,13,20620
2,complaining,sleepiness,59,17403
2,repenting,melancholy,70,8223
2,hitchhiking,tiredness,0,4333
2,remembering,mortification,47,21421
2,complaining,tiredness,70,4755
2,hammering,warmth,6,6880
2,monitoring,sleepiness,15,5924
2,boiling,dominance,10,22646
2,drinking,jealousy,25,11961
2,speculating,regret,35,9245
2,hammering,excitement,30,6103
2,complaining,melancholy,40,11918
2,gardening,jealousy,9,4253
2,shoveling,fury,30,5965
2,barbecuing,contemplation,34,11876
2,gardening,regret,27,3976
2,shoveling,mortification,18,5171
2,socializing,sadness,70,5132
2,wailing,rage,57,7010
2,monitoring,self-consciousness,84,5041
2,boiling,fury,49,11540
2,biting,enjoyment,68,8076
2,gardening,fatigue,6,4718
2,socializing,regret,54,7450
2,biting,relief,25,6597
2,performing,mortification,1,9285
2,repenting,affection,82,6685
2,hitchhiking,sadness,60,5777
2,fighting,tiredness,38,5216
2,dancing,jealousy,29,8903
2,repenting,jealousy,62,9384
2,burning,tiredness,24,14180
2,socializing,relaxation,86,5375
2,kneeling,regret,70,6438
2,fighting,interest,41,7927
2,shoveling,dominance,41,7412
2,speculating,melancholy,74,4201
2,speculating,sleepiness,35,9119
2,barbecuing,rage,12,4919
2,biting,sleepiness,21,4669
2,remembering,fury,57,6304
2,boiling,affection,50,7582
2,socializing,playfulness,98,4113
2,repenting,contemplation,82,4935
2,barbecuing,playfulness,53,3915
2,eating,affection,50,7452
2,remembering,jealousy,56,4676
2,performing,fatigue,12,6035
2,biting,interest,18,8628
2,performing,melancholy,33,10342
2,drinking,rage,77,4026
2,kneeling,playfulness,69,4237
2,barbecuing,relaxation,92,3244
2,drinking,enjoyment,85,7136
2,drinking,relaxation,87,3214
2,complaining,fatigue,73,3353
2,fighting,sleepiness,27,4904
2,fighting,warmth,8,3498
2,speculating,interest,74,4171
2,performing,sadness,17,3687
2,boiling,panic,21,5656
2,gardening,dominance,15,4226
2,remembering,excitement,68,3940
2,socializing,dominance,40,7481
2,gardening,playfulness,55,3862
2,biting,melancholy,27,7877
2,performing,enjoyment,80,6724
2,kneeling,self-consciousness,38,5645
2,hammering,sadness,35,4080
2,complaining,playfulness,20,5179
2,feeding,dominance,26,5211
2,socializing,fatigue,8,3638
2,gardening,relief,73,6478
2,gardening,self-consciousness,26,3425
2,eating,regret,25,5308
2,boiling,decision,51,3666
3,drinking,dominance,61,11297
3,hammering,relaxation,0,13576
3,kneeling,mortification,30,6734
3,boiling,tiredness,1,10110
3,speculating,melancholy,71,6793
3,hammering,sadness,0,4547
3,kneeling,enjoyment,42,6404
3,gardening,fatigue,0,9623
3,barbecuing,enjoyment,100,4266
3,speculating,affection,13,6212
3,dancing,decision,38,8599
3,biting,fury,0,4741
3,repenting,interest,13,5790
3,kneeling,self-consciousness,51,7954
3,remembering,melancholy,100,4285
3,monitoring,relief,37,18162
3,dancing,fatigue,0,4886
3,eating,contemplation,48,4108
3,monitoring,enjoyment,74,3505
3,wailing,relief,25,5920
3,biting,playfulness,67,4026
3,drinking,relaxation,100,3457
3,bicycling,warmth,16,4065
3,biting,tiredness,0,3402
3,bicycling,jealousy,14,4402
3,monitoring,dominance,75,5929
3,wailing,enjoyment,39,5707
3,socializing,panic,0,4898
3,burning,rage,19,4882
3,biting,self-consciousness,0,3151
3,monitoring,sadness,0,3471
3,dancing,sleepiness,1,2600
3,biting,interest,15,184848
3,gardening,mortification,0,3239
3,grilling,rage,1,5049
3,burning,sadness,28,4178
3,monitoring,sleepiness,7,3256
3,speculating,self-consciousness,57,4582
3,gardening,fury,44,3830
3,drinking,jealousy,80,2933
3,biting,serenity,0,2874
3,remembering,sadness,100,2598
3,wailing,sleepiness,0,4860
3,burning,dominance,57,3983
3,repenting,mortification,100,3760
3,hitchhiking,warmth,0,2744
3,feeding,contemplation,61,9932
3,feeding,rage,63,3484
3,repenting,panic,91,4470
3,wailing,jealousy,84,3096
3,hammering,panic,24,3593
3,wailing,decision,0,2432
3,eating,enjoyment,100,2924
3,feeding,melancholy,67,4947
3,hammering,excitement,42,4026
3,drinking,regret,100,3878
3,bicycling,contemplation,23,3778
3,boiling,contemplation,15,3176
3,eating,mortification,0,3055
3,drinking,fury,100,2348
3,shoveling,sleepiness,1,2825
3,performing,contemplation,36,2935
3,complaining,interest,35,6715
3,hammering,decision,25,7118
3,complaining,mortification,71,5045
3,biting,regret,0,2547
3,grilling,fury,15,3040
3,monitoring,fury,25,3838
3,eating,regret,11,5293
3,socializing,melancholy,0,2713
3,feeding,playfulness,9,4153
3,complaining,rage,0,3151
3,speculating,fatigue,0,3098
3,socializing,sadness,0,2807
3,biting,sleepiness,0,2323
3,hitchhiking,jealousy,7,5090
3,speculating,relaxation,15,4006
3,boiling,jealousy,100,3516
3,hitchhiking,enjoyment,34,3905
3,bicycling,melancholy,6,4228
4,hammering,excitement,28,5679
4,fighting,fatigue,0,4328
4,eating,self-consciousness,1,3369
4,drinking,tiredness,37,4135
4,gardening,fatigue,1,4359
4,dancing,melancholy,44,4977
4,drinking,affection,48,8703
4,fighting,interest,73,4194
4,gardening,relief,84,2761
4,boiling,panic,3,6573
4,speculating,tiredness,16,3928
4,socializing,sleepiness,0,3412
4,barbecuing,serenity,55,4686
4,remembering,relief,46,4317
4,shoveling,tiredness,1,26949
4,biting,fatigue,5,2290
4,eating,enjoyment,71,2757
4,monitoring,panic,69,3246
4,burning,self-consciousness,34,4677
4,performing,mortification,4,2715
4,shoveling,playfulness,6,3201
4,biting,dominance,71,49384
4,hammering,decision,63,1677
4,hitchhiking,decision,26,2958
4,wailing,playfulness,2,3560
4,burning,fury,70,2034
4,feeding,playfulness,45,2952
4,shoveling,rage,18,6156
4,barbecuing,melancholy,37,3171
4,shoveling,sadness,25,41621
4,speculating,sleepiness,7,2285
4,grilling,panic,3,2016
4,grilling,playfulness,34,2734
4,barbecuing,fatigue,2,2235
4,hammering,sadness,38,2200
4,hitchhiking,dominance,0,2484
4,repenting,jealousy,9,3254
4,monitoring,fatigue,34,2587
4,hammering,regret,19,1902
4,kneeling,panic,83,2910
4,eating,melancholy,62,2545
4,speculating,jealousy,77,2838
4,performing,interest,94,3307
4,barbecuing,warmth,72,2351
4,eating,decision,89,2570
4,speculating,excitement,85,2019
4,complaining,tiredness,83,2037
4,hitchhiking,serenity,7,2716
